 (New), (Новый),
01/04/2024 11:30 PM,01/04/2024 11:30 PM,
1 hour ago,1 час назад,
1 minute ago,1 минуту назад,
1 month ago,1 месяц назад,
1 week ago,1 неделю назад,
1 year ago,1 лето назад,
"@John, can you please check this?","@John, не могли бы Вы проверить это?",
A Lead requires either a person's name or an organization's name,"Ведущий требует либо имя человека, либо название организации",
A lead sync source is already enabled for this Facebook Lead Form!,Источник синхронизации лидов уже включен для этой формы лидов Facebook!,
API Key,Ключ API,
API Secret,Секретный ключ API,
API Token,API Токен,
About,О сайте,
Accept,Принять,
Accept Invitation,Принять приглашение,
Accepted,Принято,
Accepted At,Принято в,
Access Denied,Доступ запрещён,
Access Key,Ключ доступа,
Access Key is required for Service Provider: {0},Ключ доступа необходим для Поставщика услуг: {0},
Access Token,Токен доступа,
Access token is required,Требуется токен доступа,
Account ID,ID аккаунта,
Account Name,Название счета,
Account SID,SID Учетной записи,
Account name is required,Требуется название учетной записи,
Accounts,Счета,
Actions,Действия,
Activity,Активность,
Add,Добавить,
Add Account,Добавить учетную запись,
Add Assignee,Добавить исполнителя,
Add Column,Добавить колонку,
Add Existing User,Добавить существующего пользователя,
Add Field,Добавить поле,
Add Filter,Добавить фильтр,
Add Row,Добавить строку,
Add Section,Добавить раздел,
Add Sort,Добавить сортировку,
Add Tab,Добавить Закладку,
Add Weekly Holidays,Добавить еженедельные праздники,
Add a Note,Добавить заметку,
Add a name for your source,Добавить имя для источника,
Add description...,Добавить описание...,
Add existing system users to this CRM. Assign them a role to grant access with their current credentials.,Добавить существующих системных пользователей в эту CRM. Назначьте им роль для предоставления доступа с их текущими учетными данными.,
Add one to get started.,"Добавьте один, чтобы начать.",
Add svg code or use feather icons e.g 'settings',"Добавьте svg-код или используйте иконки перья, например, ""настройки""",
Add to Holidays,Добавить в Праздники,
Add your first comment,Добавьте свой первый комментарий,
"Add, edit, and manage email templates for various CRM communications","Добавляйте, редактируйте и управляйте шаблонами электронной почты для различных коммуникаций CRM",
"Add, edit, and manage sources for automatic lead syncing to your CRM","Добавляйте, редактируйте и управляйте источниками для автоматической синхронизации лидов с вашей CRM",
Address,Адрес,
Admin,Админ,
"Agent is unavailable to take the call, please call after some time.","Агент не может ответить на звонок, пожалуйста, позвоните через некоторое время.",
All,Все,
Amount,Сумма,
Amount after discount,Сумма после скидки,
An error occurred,Произошла ошибка,
An error occurred while updating the document,Произошла ошибка при обновлении документа,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Файл иконки с расширением .ico. Размер должен быть 16 x 16 px. Создается с помощью генератора иконок. [favicon-generator.org].,
An image with 1:1 & 2:1 ratio is preferred,Предпочтительно изображение с соотношением сторон 1:1 и 2:1,
And,И,
Annual Revenue,Годовой доход,
Annual Revenue should be a number,Годовой доход должен быть числом,
Any failed lead syncs will show up here,Здесь будут отображаться все неудачные попытки синхронизации лидов,
App Name,Название приложения,
Appears in the left sidebar. Recommended size is 32x32 px in PNG or SVG,Появляется в левой боковой панели. Рекомендуемый размер 32x32 px в формате PNG или SVG,
Appears next to the title in your browser tab. Recommended size is 32x32 px in PNG or ICO,Появляется рядом с заголовком на вкладке браузера. Рекомендуемый размер 32x32 px в формате PNG или ICO,
Apply,Применить,
Apply On,Применить на,
Apply To,Применить к,
Apps,Приложения,
Are you sure you want to delete this attachment?,Вы действительно хотите удалить это вложение?,
Are you sure you want to delete this contact?,Вы действительно хотите удалить этот контакт?,
Are you sure you want to delete this organization?,Вы действительно хотите удалить эту организацию?,
Are you sure you want to delete this task?,Вы действительно хотите удалить задачу?,
Are you sure you want to delete {0} linked item(s)?,"Вы уверены, что хотите удалить {0} связанных элемента(ов)?",
Are you sure you want to go back? Unsaved changes will be lost.,"Вы уверены, что хотите вернуться назад? Несохраненные изменения будут потеряны.",
Are you sure you want to login to your Frappe Cloud dashboard?,"Вы уверены, что хотите войти в панель управления Frappe Cloud?",
Are you sure you want to reset 'Create Quotation from CRM Deal' Form Script?,"Вы уверены, что хотите сбросить скрипт формы «Создать предложение из сделки CRM»?",
Are you sure you want to set the currency as {0}? This cannot be changed later.,"Вы уверены, что хотите установить валюту как {0}? Это нельзя будет изменить позже.",
Are you sure you want to unlink {0} linked item(s)?,"Вы уверены, что хотите отвязать {0} связанных элемента(ов)?",
"Ask your manager to set up the Exchange Rate Provider, as default provider does not support currency conversion for {0} to {1}.","Обратитесь к менеджеру для настройки провайдера обменных курсов, поскольку провайдер по умолчанию не поддерживает конвертацию валют из {0} в {1}.",
Assign To,Назначить,
Assigned To,Назначено для,
Assignee Rules,Правила назначения исполнителей,
Assignees,Исполнители,
Assignment,Назначение,
Assignment Days,Дни назначений,
Assignment Rule,Правило назначения,
Assignment Rules,Правила назначения,
Assignment Schedule,График назначений,
Assignment conditions,Условия назначения,
At least one field is required,Обязательно заполнение хотя бы одного поля,
Attach,Прикрепить,
Attachments,Вложения,
Auth Token,Токен аутентификации,
Auto Update Expected Deal Value,Автоматическое обновление ожидаемой стоимости сделки,
Auto-generated from the portal view — do not edit directly unless you know what you're doing! ,"Автоматически сгенерировано из представления портала — не редактируйте напрямую, если вы не знаете, что делаете! ",
Autocomplete,Автозаполнение,
"Automatically update ""Expected Deal Value"" based on the total value of associated products in a deal","Автоматически обновляйте ""Ожидаемую стоимость сделки"" на основе общей стоимости связанных товаров в сделке",
Automation & Rules,Автоматизация и правила,
Average deal value of non won/lost deals,Средняя стоимость сделки для незавершённых сделок,
Average deal value of ongoing & won deals,Средняя стоимость текущих и выигранных сделок,
Average deal value of won deals,Средняя стоимость выигранных сделок,
Average time taken from deal creation to deal closure,Среднее время от создания до закрытия сделки,
Average time taken from lead creation to deal closure,Среднее время от создания лида до закрытия сделки,
Avg. deal value,Средняя стоимость сделки,
Avg. ongoing deal value,Средняя стоимость текущих сделок,
Avg. time to close a deal,Среднее время закрытия сделки,
Avg. time to close a lead,Среднее время закрытия лида,
Avg. won deal value,Средняя стоимость выигранных сделок,
BCC,BCC,
Back,Назад,
Background Sync Frequency,Частота фоновой синхронизации,
Backlog,Бэклог,
Between,Между,
Brand,Бренд,
Brand Logo,Фирменный логотип,
Brand Name,Название бренда,
Brand Settings,Настройки бренда,
Branding,Брендинг,
Bulk Edit,Массовое редактирование,
Busy,Занят,
Button,Кнопка,
CC,Копия,
CRM Call Log,CRM Журнал звонков,
CRM Communication Status,CRM Статус коммуникации,
CRM Contacts,CRM Контакты,
CRM Dashboard,Панель управления CRM,
CRM Deal,CRM Сделка,
CRM Deal Status,CRM Статус сделки,
CRM Dropdown Item,CRM Выпадающий элемент,
CRM Exotel Settings,CRM Настройки Exotel,
